Park_Quality_Index,site_name,Park_Type,Shape_Area,Park_Area_Log,Park_Area_MIN_MAX,Sports_Surface_Count,Sports_Log,Sports_MIN_MAX,Combined_Amenities_Count,Combined_Amenities_Count_Log,Combined_Amenities_MIN_MAX,Transit_Stop_Count_350m,Transit_Score,Water_Body_Count,Water_Body_Score,Path_Count_NonZero,Park_Path_Length,Pathway_Score
0.2284245,,SUBNEIGHBOURHOOD PARK,1087.811719099224320,3.036952786619172,0.008979851444214,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,7,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2283820,,SUBNEIGHBOURHOOD PARK,1083.501953632303866,3.035230338693195,0.008554579839438,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,2,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2283737,,SUBNEIGHBOURHOOD PARK,14117.282044733728981,4.149781853664495,0.283736838895823,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,7,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2282836,,SUBNEIGHBOURHOOD PARK,13999.100889949240809,4.146131165377549,0.282835485628237,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2282742,,SUBNEIGHBOURHOOD PARK,13986.929919540001720,4.145753447798395,0.282742227330778,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,24,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2281856,SADDLERIDGE DEPOT,PARKS DEPOT,13871.759822650654314,4.142162867455334,0.281855714687033,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,2,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2281670,,SUBNEIGHBOURHOOD PARK,1061.976437181234360,3.026523637697722,0.006404899347618,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,11,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2279953,,SUBNEIGHBOURHOOD PARK,1045.089626174220484,3.019568895320349,0.004687776636955,0,0.000000000000000,0.000000000000000,1,0.301029995663981,0.110106098837036,4,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2276162,,SUBNEIGHBOURHOOD PARK,13154.357893044321827,4.119102667614423,0.276162161898065,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,8,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2271047,,SUBNEIGHBOURHOOD PARK,12541.482149896226474,4.098383491624678,0.271046606826758,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,3,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2269803,,LINEAR PARK,12396.811782171051163,4.093345038808184,0.269802615131831,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,16,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2267283,,SUBNEIGHBOURHOOD PARK,12108.885390891740826,4.083140032958178,0.267283003857012,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,5,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2266363,,SUBNEIGHBOURHOOD PARK,12005.451080414490207,4.079414655699421,0.266363209916462,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,14,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2265279,BLACKFOOT DEPOT,PARKS DEPOT,11884.718673578283415,4.075025446605474,0.265279516199555,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,2,1.0000000,0,0.0000000,0.0000000,,0.0000000
0.2265152,,SUBNEIGHBOURHOOD PARK,11870.635587818022032,4.074510557019456,0.265152390196368,0,0.000000000000000,0.000000000000000,0,0.000000000000000,0.000000000000000,10,1.0000000,0,0.0000000,0.0000000,,0.0000000
