asset_type,material,number_cou,Shape_Length,Shape_Area
SOCCER,MOWED TURF,,304.717770228647623,5646.614959828942119
SOCCER,MOWED TURF,,350.904496315412359,7552.348910131932826
SOCCER,MOWED TURF,,266.881881383482437,3817.106672725838507
SOCCER,MOWED TURF,,170.597356725379882,1577.783570004643252
SOCCER,MOWED TURF,,322.099341798167416,6110.102482709977266
SOCCER,MOWED TURF,,278.595836392817716,4401.139721944890880
SOCCER,MOWED TURF,,326.765584257964122,6543.238103764699190
SOCCER,MOWED TURF,,252.777664399952698,3723.358125998592641
BASKETBALL,ASPHALT,,99.399630593806904,572.638315712468966
BASKETBALL,ASPHALT,,84.353323657822273,423.136531842103636
BASKETBALL,ASPHALT,,66.603927034401011,249.144528876935226
BALL DIAMOND INFIELD,MOWED TURF,,77.856821899447240,313.450928139687392
BASKETBALL,ASPHALT,1,57.883697760857999,266.203655626717875
BALL DIAMOND INFIELD,MOWED TURF,,74.394900653086637,276.925847903886563
BALL DIAMOND INFIELD,MOWED TURF,,79.305720701018927,397.464500084627446
SOCCER,MOWED TURF,,290.742001892049927,4826.210622545986553
TENNIS,ASPHALT,1,110.341347018958771,679.432636406140091
SOCCER,MOWED TURF,,159.103690327884323,1453.244170436660625
SOCCER,MOWED TURF,,215.781669047075525,2555.044639991944678
SOCCER,MOWED TURF,,189.813834057146067,1846.238038038066406
SOCCER,MOWED TURF,,182.693485975971100,1631.853108036427102
TENNIS,ASPHALT,2,99.129513463129229,486.261246994232408
TENNIS,ASPHALT,2,104.347581826028332,579.779746411887913
TENNIS,ASPHALT,1,99.035568280663099,485.263451014076168
TENNIS,ASPHALT,1,102.780855723102604,554.579410539646119
TENNIS,ASPHALT,1,103.937162844180278,571.660369494631823
TENNIS,ASPHALT,1,104.090879210978500,574.406634911257470
SOCCER,MOWED TURF,,212.845074809936847,2556.318056037084261
SOCCER,MOWED TURF,,341.163516344253196,7027.700184405865002
SOCCER,MOWED TURF,,163.192559608061913,1483.976508882628423
BALL DIAMOND OUTFIELD,MOWED TURF,,368.405179793915863,6153.683815557922571
TENNIS,ASPHALT,2,98.739463945821527,476.532939680406798
TENNIS,ASPHALT,1,99.679829018969613,495.589633332250855
TENNIS,ASPHALT,1,103.155661433129595,565.309900978953465
TENNIS,ASPHALT,1,102.759861493292107,553.676870352549940
VOLLEYBALL,SAND,,94.983250055901749,560.971983274122294
SOCCER,MOWED TURF,,228.403837169207776,2897.796508455649473
TENNIS,ASPHALT,1,105.421334962936442,588.632652097873347
BASKETBALL,ASPHALT,1,31.242573700576301,59.573544865100509
